WaterUseSurveyCode|WaterUseSurveyDescription
0030000|TOWN OF ANTHONY
0030450|ANVIL PRODUCTS
0031150|APPIAN CORPORATION
0031424|APPLIANCE CONTROLS OF TEXAS
0031426|APPLIED CONCEPTINC
0031430|AES DEEPWATER LLC
0031650|AQUATERRA BIOCHEMICAL CORPORATION
0033700|ARCHER & COMPANY INC
0033744|MATADOR PIPELINES OF TEXAS INC
0033746|ARCO PIPELINE COMPANY
0033760|CITY OF ARCOLA
0034200|ARKANSAS LOUISIANA CHEMICAL CORPORATION
0034300|WASKOM GAS PROCESSING
0035400|Nouryon Functional Chemicals LLC-PASADENA PLANT
0035510|ARMCO STEEL CORPORATION-NATIONAL SUPPLY DIV
0035728|ARMOR COTE CORPORATION
0035751|ARMOUR & COMPANY-HALLIBURTON ENERGY SERVICES INC
0035767|UNIVAR SOLUTIONS USA INC
0035867|ARTCRAFT PANELS INC-VINTON PLANT
0035950|ARTHUR CITY WATER SUPPLY
0037425|DAIRY FARMERS OF AMERICA INC-SULPHUR SPRINGS PLANT
0037470|MONARCH UTILITIES LP-CALLENDER LAKE
0037476|MONARCH UTILITIES LP-CAMELOT FOREST
0038400|Meridian Brick-ATHENS PLANT
0039800|ATLANTA BOTTLING COMPANY
0040050|TEXACO INC
0040450|AUCOIN AND ASSOCIATES-ATASCOCITA VILLAGE MHP
0041190|AUTO CHLOR SYSTEM OF WEST TEXAS
0041850|ITW AUTO WAX
0042320|AVEY PLASTICS
0042370|GE ENGINE SERVICES
0044001|AXXIOM MANUFACTURING
0044560|AZTEC VILLAGE MOBILE HOME PARK
0044700|B  & A INC  SEAFOODS
0044710|COLEMAN NATURAL MEATS
0044900|BP CHEMICALS INC
0048869|LEDEZAMA & READY MIX
0049550|BABCOCK & WILCOX COMPANY
0050000|CITY OF BAILEY
0050240|BIMBO BAKERIES USA
0050270|MRS  BAIRDS BAKERIES-CAKE PLANT
0050320|BAKER HUGHES TUBULAR SERVICES
0050330|BAKER PERFORMANCE CHEMICALS INC
0050397|OUR WSC
0050535|BALDWIN INTERESTS
0051120|BRIDGESTONE BANDAG INC
0051300|BANDERA COUNTY FWSD 1
0052607|BAR 7 SUBDIVISION WATER SYSTEM
0052810|BARKEL INC
0054100|BARON OIL
0054400|ALAMO CONCRETE PRODUCTS CO-EVANS ROAD PLANT
0054570|BARRETT SETTLEMENT-WALKER WATER COMPANY
0057050|HOUSTON WIRE WORKS
0059410|BAYOU COLONY MHP
0059460|BAY PLACE SUBDIVISION WATER COMPANY
0060110|BAYTOWN AREA WATER AUTHORITY
0000012|PALO DURO RIVER AUTHORITY OF TEXAS
0000015|BAYTOWN AREA WATER AUTHORITY-UNSPECIFIED SYSTEM/FACILITY
0000038|SULPHUR RIVER MWD
0000080|SABINE RIVER AUTHORITY-TOLEDO BEND 05170
0000095|SABINE RIVER AUTHORITY-LAKE FORK 05040
0000132|ANGELINA & NECHES RIVER AUTHORITY-MUD CREEK
0000165|NORTH TEXAS MWD-DALLAS COUNTY RESERVOIR 08155
0000171|TRINITY RIVER AUTHORITY-ELM FORK OF TRINITY DALLAS COUNTY
0000185|TRINITY RIVER AUTHORITY-ARLINGTON DAM 08120
0000195|TARRANT REGIONAL WD-EAGLE MOUNTAIN 08030
0000280|UPPER LEON RIVER MWD
0000310|GALVESTON COUNTY WATER AUTHORITY
0000330|BRAZOS RIVER AUTHORITY-RUN OF THE RIVER FORT BEND COUNTY
0000336|BRAZOS RIVER AUTHORITY-LAKE WACO 12240
0000365|BRAZOS RIVER AUTHORITY-BELTON ENL 12290
0000385|SOUTH TEXAS WATER COMPANY-BRAZOS RIVER   GALVESTON CO
0000450|BROWN COUNTY WCID 1
0000540|TREY TRUCKING
0000769|HIDALGO CO WCID 3
0000960|PATTERSON REALTY
0001040|MACKENZIE MUNICIPAL WATER AUTHORITY
0001073|TEXAS UTILITY FUEL COMPANY
0002500|CITY OF KERRVILLE-KERRVILLE ASR PROJECT
0004017|A & F INSULATION INC
0004019|A & B METAL MANUFACTURING INC
0005750|ABBATE MHP
0005790|ABBIE SUBDIVISION
0005800|CITY OF ABBOTT
0005808|ICU MEDICAL-AUSTIN FACILITY
0006650|CITY OF ABILENE
0006655|ABILENE METAL BUILDING SYSTEMS
0007200|ACCENT MARBLE COMPANY INC
0007385|ACE MHP
0007390|ACE RUBBER PRODUCTS
0008400|ACME BRICK COMPANY-UNSPECIFIED SYSTEM/FACILITY
0008854|ADVANCED BUSINESS COMMISSON INC
0008875|ACUSHNET COMPANY
0008885|ADAMSON CHRONISTER VALVES INC
0009150|ADHESIVE & CHEMICAL TECHNOLOGY
0009817|TEXTECK INC
0009821|ADVANCED RUBBER MOLDING INC
0009824|TEXMARK CHEMICALS INC
0009949|AGC FLAT GLASS N A
0009950|AFTON GROVE WSC
0010830|AILEEN INC-AMARILLO PLANT
0010852|AIRMEC INC
0010853|AIR PARK HOA
0010880|AIRPORT INDUSTRIAL PARK WATER SYSTEM
0010890|AIR PRODUCTS LLC-LA PORTE PLANT
0010893|AIR PRODUCTS & CHEMICAL INC-GRUVER HELUIM PLANT
0010895|SEKISUI SPECIALTY AMERICA LLC-PASADENA PLANT
0010914|AIR LIQUIDE AMERICA CORPORTION-UNSPECIFIED SYSTEM/FACILITY
0010927|GULF MARINE FABRICATORS-INGLESIDE PLANT
0011121|ALAMO CONCRETE COMPANY-SINTON PLANT
0011123|ALAMO CONCRETE PRODUCTS CO-EAGLE PASS CONCRETE PLANT
0011124|ALAMO CONCRETE PRODUCTS LTD-READY MIX PLANT LOOP 1 604 WEST
0011125|ALAMO READY MIX CONCRETE-PLANT 81 GOLAID
0011129|ALAMO CONCRETE PRODUCTS CO-LESLIE ROAD PLANT
0011130|ALAMO READY MIX CONCRETE-PLANT 82 KENEDY
0011425|K & K WATER COMPANY
0011475|CHAMPS WATER COMPANY-ALDINE FOREST SUBDIVISION
0011488|HYDRO TECH UTILITIES-ALDINE ISD MATTIE A TEAGUE MIDDLE SCHOOL
0011489|HYDRO TECH UTILITIES-ALDINE ISD ORANGE GROVE ELEMENTARY
0012625|ALKASARI TEXAS LIMESTONE CORPORATION
0013100|M H C
0013290|ALLIED FEEDS-SAN ANTONIO PLANT
0013670|AMERICAN PIPE COMPANY
0013678|ALLOY CARBIDE COMPANY
0013685|ALOE VERA OF AMERICA INC
0013686|RTP COMPANY
0015560|TCI-TEXARKANA INC
0020000|U S DEPT OF INTERIOR
0020385|PRINCE GOLF INTERNATIONAL
0020700|AMERICAN PETROFINA INC
0020900|AMERICAN LANTERN COMPANY
0022090|AMERICAN RICE INC-HALLIBURTON ENERGY SERVICES INC
0022200|AMERICAN SERVICE COMPANY
0022850|AMERICAN TREE & WREATH
0022900|CHAMPS WATER COMPANY-MADING LANE
0023550|AMETEK INC
0023553|SUMMAGRAPHICS
0024525|AMOCO PIPELINE COMPANY-MONROE PUMP STATION
0024775|AMOCO PRODUCTION COMPANY-LA BLANCA PLANT
0024800|CITY OF ANAHUAC
0024805|AMOCO PRODUCTION COMPANY-SONORA PLANT
0024865|OCCIDENTAL PERMIAN
0024980|A M X CORPORATION
0025190|ANCHOR ADVANCED PRODUCTS
0025400|ANCHOR WATE COMPANY
0026050|SOUTHERN COTTON OIL COMPANY
0026654|ANDERSON GREENWOOD & COMPANY-EL CAMPO PLANT
0026800|ANDERSON PEAT ORGANIC COMPOST
0028800|CITY OF ANGLETON
0029200|ANKEM CHEMICALS INC
0031100|APACHES SHORES INC
0031500|AQUA WSC
0033600|ARCADIA PARK
0033720|AMERICAN MIDSTREAM GAS SOLUTION LP
0033724|BRISTOL RESOURCES
0033740|ARCO OIL & GAS COMPANY-DIV OF ATLANTIC RICHFIELD COMPANY HULL GAS PLANT
0033950|ARGYLE WSC
0034050|DRILEX SYSTEMS INC
0034275|ARKANSAS LOUISIANA GAS COMPANY-WILLOW SPRINGS PLANT
0035500|GREENS PORT INDUSTRIES
0035700|ARMCO STEEL CORPORATION-UNSPECIFIED SYSTEM/FACILITY
0035850|ARROWHEAD VILLAGE
0035853|ARROW PLATING COMPANY INC
0035985|ARROYO COLORADO ESTATES
0036395|ASHCRAFT & SOUTHERN MARBLE COMPANY
0036800|ASHLAND CHEMICAL COMPANY-CARBON BLACK & RUBBER DIV
0036801|VERSUM MATERIALS-ELECTRONIC CHEMICALS DIVISION
0037430|AMERICAN DAIRY FOODS & CONS LAB
0037490|ZELLWEGER COMPANY
0037903|ATASCOSA MINING COMPANY
0037950|ATCO RUBBER PRODUCTS INC
0038200|CITY OF ATHENS
0040529|ATRIUM COMPANIES INC-UNSPECIFIED SYSTEM/FACILITY
0041035|CITY OF AUSTIN-STACY POOL WELL
0041120|AUSTIN HWY WSC
0041180|AUSTRON INC
0041400|CITY OF AUSTWELL
0041950|BETHESDA WSC-AUTUMN HILLS ESTATES
0042200|CITY OF AVALON
0042297|AZTECA MILLING LP-UNSPECIFIED SYSTEM/FACILITY
0042298|ECC LIMITED
0042360|G E ENGINE SERVICES
0044055|TRENT WATER WORKS-BLACK FERRY WATER COMPANY
0044551|AZTEC MANUFACTURING COMPANY-HOUSTON HOT DIP PLANT
0049600|BACKUS LAUNDRY DRY CLEANERS
0049800|BAGWELL WSC
0050295|MRS  BAIRDS BAKERIES-MARSHALL BAKERIE
0050300|MRS  BAIRDS BAKERIES
0050400|CITY OF OF BALCH SPRINGS
0050515|BALCONES COUNTRY CLUB
0050800|THE BAMA COMPANY
0051375|BANDERA RIVER RANCH 2
0052488|BAPTIST CHILD AND FAMILY SERVICES-BAPTIST CHILDRENS HOME
0052510|Utility Partners LLC-BAR D RANCHETTES
0053900|BARNETT WATER COMPANY
0000040|SULPHUR SPRINGS WD
0000160|NORTH TEXAS MWD-WYLIE WTP LAKE LAVON
0000170|DALLAS COUNTY PARKS CITIES MUD
0000206|TARRANT REGIONAL WD-LAKE BENBROOK
0000230|BAYER WATER COMPANY
0000300|EASTLAND COUNTY WSD 1
0000345|BRAZOS RIVER AUTHORITY-LIMESTONE (U NAVASOTA) 12380
0000440|CENTRAL COLORADO RIVER AUTHORITY
0000560|SAN ANGELO WSC
0000670|CAMERON COUNTY WCID 2
0000725|HIDALGO CAMERON WCID 7
0000770|HIDALGO CO WCID 2
0000805|HIDALGO COUNTY ID 6
0000808|HIDALGO COUNTY ID 36515
0000825|DELTA LAKE MA
0000870|TRANSWESTERN PIPELINE COMPANY
0000970|ELLIOT FARM POND
0001060|WESTWOOD CORPORATION
0001095|LA PORTE AREA WATER AUTHORITY
0002510|SAN ANTONIO WATER SYSTEM-SAWS ASR PROJECT
0004020|CLAJON GAS COMPANY LP
0005000|A & P WSC
0006100|ABC RENDERING SAN ANTONIO INC
0006600|CITY OF ABERNATHY
0007380|TEXACE CORPORATION
0008455|ACME BRICK COMPANY-BENNETT/TUNNEL PLANTS
0008456|ACME BRICK COMPANY-BENNETT TUNNEL PLANT
0008460|ACME BRICK COMPANY-SAN FELIPE PLANT
0009100|ADGRAPHICS LTD
0009800|B B S WSC-ADRIAN MUNICIPAL WATER SYSTEM
0009810|ROYAL COACH TRAILS
0009828|SONY SEMICONDUCTOR COMPANY OF AMERICA
0010835|AILEEN INC-SAN ANGELO PLANT
0010847|SEADRIFT COKE LP
0010883|H2O INNOVATION-AIRPORT UTILITIES INC (HOLIDAY INN)
0011120|ALAMO CONCRETE TILE INC
0011325|ALAMO PACKAGING CORPORATION
0011385|ALAMO VILLAGE WATER SYSTEM
0011462|ALDERMAN CAVE MILLING COMPANY
0011480|HYDRO TECH UTILITIES-ALDINE JR HIGH ALDINE ISD
0011484|ALDINE ISD-EISENHOWER SR HIGH
0011485|ALDINE ISD-GLORIA B SAMMONS ELEMENTARY
0011700|ALERGY FREE LP
0011900|ALEXANDER MARKETING COMPANY
0012200|CITY OF ALICE
0013400|HONEYWELL INTERNATIONAL INC-CHEMICAL SECTOR
0013677|ALLSTATE PACKING COMPANY
0013680|LINEAGE ALLOYS INC
0013790|ALPHA POLY PRODUCTS
0014000|GALVESTON COUNTY WCID 8
0015550|CITY OF ALTUS-WILBARGER COUNTY FIELD
0015610|ALUMINUM COMPANY OF AMERICA
0016000|CITY OF ALVARADO
0017650|AMARILLO BY PRODUCTS COMPANY
0018990|ATHENS
0019400|AMOUR & COMPANY
0019450|AMALIE REFINING COMPANY
0020360|AMERADA PETROLEUM CORPORATION
0020392|ELEMENTIS CHROMIUM LP
0020485|AMERICAN CAN COMPANY-SAN ANTONIO PLANT 161
0020626|AMERI FORGE CORPORATION
0020628|CARDINAL HEALTH 200 INC-EL PASO BRANCH
0020629|AMERICAN FRUITS & FLAVORS
0020630|HUNTSMAN CHEMICAL CORPORATION
0021000|AMERICAN LITHIUM CHEMICAL COMPANY
0021115|AMERICAN PLATING COMPANY
0021675|AMERICAN PACKING & GASKET COMPANY
0021807|AMERICAN PROTECTORS INC
0021810|AMERICAN REF FUEL COMPANY
0022100|RIVIANA FOODS INC-FREEPORT PLANT
0024370|AMISTAD VILLAGE WATER SYSTEM
0024503|PACTIV LLC-CORSICANA PLANT
0024507|WOLD TALC COMPANY INC
0024510|AMOCO OIL COMPANY
0024530|AMOCO PIPELINE COMPANY-SLAUGHTER PUMP STATION
0024590|AMOCO PRODUCTION COMPANY-WHITE FLAT PLANT
0024650|INEOS USA LLC-HOBBS FRACT COMPLEX
0024750|AMOCO PRODUCTION COMPANY-ANTON IRISH PLANT
0024760|AMOCO PRODUCTION COMPANY-ROPES PLANT
0024770|WARRIOR GAS COMPANY
0024780|OCCIDENTAL PERMIAN LTD-LEVELLAND BOOSTER STATION
0024790|ALTURA ENERGY LTD-NORTH COWDEN PLANT
0024900|HILCORP ENERGY COMPANY-OLD OCEAN PLANT
0025110|ANADARKO PERTOLEUM CORPORATION
0025205|ANCHOR ROAD MOBILE HOME PARK
0025300|ANCHOR GASOLINE CORPORATION
0025390|ANCHOR GLASS CONTAINER CORPORATION
0026075|ANDERSON CLAYTON & COMPAY
0026078|LONG REACH MANUFACTURING COMPANY-HALLIBURTON ENERGY SERVICES INC
0026600|SAM ANDERSON
0026652|ANDERSON GREENWOOD & COMPANY-GLENMONT PLANT
0028450|ANGELINA HARDWOOD SALES COMPANY
0029700|A N N S DEVELOPMENT COMPANY INC-SYSTEM 2
0029810|ANTENNA PRODUCTS CORPORATION
0030800|A 1 BIT TOOL COMPANY
0031025|APACHE READY MIX
0031131|APEX PLASTIC & TOOLING INC-GARLAND PLANT
0031300|APPLEGATE SHADY ACRES
0031427|APPLIED ENGINEERING
0031429|UTEX INDUSTRIES
0031432|APPLIED MATERIALS INC
0031460|CRYSTAL CLEAR WATER - WHISPERING RIDGE
0032005|AQUILA REALTY LLC
0032500|ARA AUTOMOTIVE GROUP
0033500|HARRIS COUNTY MUD 50-ARCADIAN GARDENS SUBDIVISION
0033722|ARCO OIL & GAS COMPANY-PRICE GAS PLANT
0033726|ARCO OIL & GAS COMPANY-BENDER COMPRESSOR STATION
0033728|OXY USA Block 31 Gas Plant-BLOCK 31 PLANT
0033741|ARCO CHEMICAL COMPANY
0033825|ARENOSA CREEK ESTATES MHP
0033850|ARGON MEDICAL DEVICES INC
0034900|ARLAM CONCORD WSC
0035650|ARMCO STEEL CORPORATION-NATIONAL SUPPLY DIV
0035730|ARMOUR & COMPANY-LAMPASAS PLANT
0035754|ARMOUR FOOD COMPANY-FORT WORTH PLANT
0035765|BWAY PACKAGING
0035770|ARMSTRONG WSC
0035823|ARROW GRAPHICS INC
0036100|ASARCO LLC-AMARILLO COPPER REFINERY
0037000|ASHLEYS DIVISION BRUCE FOODS CORPORATION
0037450|ASSOCIATED MILK PRODUCERS INC-UNSPECIFIED SYSTEM/FACILITY
0037455|KELLERS CREAMERY LLC
0037472|MONARCH UTILITIES LP-HOLIDAY SHORES
0038401|ATHENS BRICK COMPANY
0038625|ATHLONE INDUSTRIES INC
0040080|HOUSTON REFINING LP
0040090|EQUISTAR CHEMCIALS LP-DAYTON GAS PLANT
0040428|ATMI MATERIALS
0040500|ATLASTA GLEN WS
0040580|ATTOYAC WSC
0041000|AUGE PACKING COMPANY
0041007|CITY OF AURORA
0041010|CITY OF AUSTIN-GENERAL DISTRIBUTION SYSTEM
0041800|INTERTEK AUTOMOTIVE RESEARCH
0044525|COVERED GATE INC
0044545|AZTEC COMPUTER CENTER
0049700|BACLIFF MUD
0050250|MRS  BAIRDS BAKERIES-UNSPECIFIED SYSTEM/FACILITY
0050280|MRS  BAIRDS BAKERIES-BREAD PLANT
0050350|BAKER MARINE CORPORATIONI
0050395|H2O INNOVATION-BAKER ROAD MUD
0051345|BANDERA RIVER RANCH WATER COMPANY-BANDERA HOMESTEAD CONDOMINUMS
0000090|NORTH TEXAS MWD-TAWAKONI WTP
0000184|TRINITY RIVER AUTHORITY-LAKE LIVINGSTON 08290
0000290|WHITE RIVER MWD
0000331|BRAZOS RIVER AUTHORITY-BRAZOS RIVER SYSTEM
0000366|BRAZOS RIVER AUTHORITY-LAKE SOMMERVILLE 12360
0000510|UPPER COLORADO RIVER AUTHORITY-MOUNTAIN CREEK RESERVOIR 14041
0000530|EL PASO PRODUCTS COMPANY-GROUND WATER SYSTEM
0000580|GUADALUPE BLANCO RIVER AUTHORITY-CANYON LAKE 18020
0000780|HIDALGO CO WCID 1
0000810|HIDALGO WILLACY WCID 1
0000850|BROWNSVILLE IRRIGATION & DRAINAGE DISTRICT
0001030|RED RIVER AUTHORITY-LAKE TEXOMA 02230
0001065|JAMES VANDIVERE
0001067|B C VACUUM
0001079|FEH CORPORATED
0005845|ABB RANDAL INC
0006200|ABDERHALDEN OIL ACCOUNT
0006400|CHF INDUSTRIES
0007250|CARGILL ANIMAL NUTRITION
0008100|ACME BOOT COMPANY
0008857|ACTION WEST MANUFACTORING COMPANY
0008910|ADAPTA PAK INC
0008960|Inframark-ADDICKS UD
0008975|ADELL CORPORTION
0009000|TOWN OF ADDISON
0010600|CITY OF AGUA DULCE
0010842|BOC GASES-DALLAS PLANT
0010844|LINDE LLC-JEWETT PLANT
0010884|AIR PRODUCTS MANUFACTURING COMPANY
0010886|AIR PRODUCTS & CHEMICAL INC-BAYTOWN FM 1405 PLANT
0010925|ROADMASTER CORPORATION
0011139|ALAMO CONCRETE PRODUCTS LTD-SOUTH TEXAS DIV ROBSTOWN PLANT
0011165|ALAMO WINERY INC
0011460|HARVEST COMMUNITIES ON AIRLINE
0011500|ALDINE MOBIL HOME CITY
0011501|ELEMENTIS LTP INC
0012620|ALICE PACKING COMPANY
0012800|ALLENDALE SUBDIVISION WATER SYSTEM
0013620|ALLIED MANUFACTURING COMPANY
0013795|ALPHA UTILITY OF HARRISON COMPANY
0013800|CITY OF ALPINE
0015401|CITY OF ALTON
0020110|AMARILLO MASTER CRAFT INDSN INC
0020310|AMBOX INC
0020315|AMCO MESH & WIRE COMPANY
0020350|AMERDA HESS CORPORATION
0020390|AMERICAN BAKERIES COMPANY-BEAUMONT PLANT
0020393|AMERICAN BEAUTY MACARONI COMPANY TEXAS
0020395|AMERICAN LONE STAR
0020500|CENVEO   DALLAS
0020505|AMERICAN FIBER MANUFATURING
0020515|VESUVIUS USA
0020602|AMERICAN DESK MANUFACTURING COMPANY
0020631|AMERICAN HOMESTAR OF BURLESON
0020650|AMERICAN HOME FOOD PRODUCTS
0021050|MPLC NORTH AMERICAN MAGNESIUM INC
0021600|AMERICAN INTER MAN CORPORTION
0021650|AMERICAN NUT CORPORATION
0023325|LINDE LLC
0023655|AMF TUBOSCOPE INC
0023675|AMERICAST LLC
0024000|CITY OF AMHERST
0024280|AMICON PLASTICS INC
0024365|INTERNATIONAL BOUNDARY & WATER COMMISS-AMISTAD VILLAGE WATER SYSTEM
0024460|INEOS USA LLC-STRATTON RIDGE FACILITY
0024785|AMOCO PRODUCTION COMPANY-WILLAMAR PLANT
0024820|AMOCO PRODUCTION COMPANY-WEST YANTIS GAS PRODUCITON
0024830|AMOCO PRODUCTION COMPANY-SOUTH  GILLOCK CYCLING PLANT
0024870|AMOCO PRODUCTION COMPANY-BURNELL NORTH PETTUS PLANT
0024955|AMTECH CORPRORATION
0025189|ANCAR WATER SYSTEM
0025395|ANCHOR METALS INC
0025600|ANDERSON WATER COMPANY-ANDERSON WATER SYSTEM
0026400|NIEL P ANDERSON BUILDING
0026650|ANDERSON GREENWOOD & COMPANY-RICE AVENUE PLANT
0027100|ANDERSON AND ASSOCIATION
0028520|ANGELO STATE UNIVERSITY
0029650|CITY OF ANNONA
0030100|ANTHONY POOLS
0031475|AQUA TEXAS INC-AQUA VISTA UTILITIES COMPANY
0032000|AQUILLA WSC
0032010|AQUILLA WSD
0032800|CITY OF ARANSAS PASS
0033000|ARBOR OAK UTILITY COMPANY
0033745|TOTAL PETROCHEMICALS & REFINING USA INC LA PORTE PLANT
0034150|Indorama Ventures LLC-DAYTON PLANT
0035401|ALBEMARLE CORPORATION-BAYPORT PLANT
0035490|ARM AUTOMATION INC
0035520|ARMCO STEEL CORPORATION-FAIRBANKS METAL PRODUCITON DIV
0035752|ARMOUR & COMPANY-SAN ANGELO PLANT
0035827|ARROWHEAD HILL WSC
0035830|HILCO UNITED SERVICE H20-ARROWHEAD WATER SYSTEM HILL
0035863|ARTCO BELL CORPORATION-UNSPECIFIED SYSTEM/FACILITY
0035955|ARTISTIC LICENSE POTTERY
0037460|ASSOCIATED OPTICAL COMPANY
0037500|ASTRO KOA KAMP INC
0040070|ATLANTIC RICHFIELD COMPANY-QUICKSAND CREEK PLANT
0040570|USI LIGHTING INC
0041036|CITY OF AUSTIN-FAYETTEVILLE POWER STATION CEDAR
0041100|AUSTIN BROTHERS STEEL COMPANY
0041101|GARRETT FLYING SERVICE INC-AUSTIN BAYOU GOLF & RV
0041115|AUSTIN FOAM PLASTICS INC
0041125|AUSTIN PRESTRESSED COMPANY
0041600|AUTOMOTIVE INTL REFRIGERATION
0042301|JAMES AVERY CRAFTSMAN INC-COMFORT I
0042350|DALLAS AIRMOTIVE INC
0043600|HALLIBURTON ENERGY SERVICES-LONGVIEW PLANT
0044000|AXTELL WSC
0044510|AZON CORPORATION
0044701|B & R FOOD SERVICE-UNSPECIFIED SYSTEM/FACILITY
0044725|B & D WATER SYSTEM
0044800|B MANUFACTURING COMPANY INC
0050200|BAILEYVILLE WSC
0050260|MRS  BAIRDS BAKERIES-UNSPECIFIED SYSTEM/FACILITY
0050393|BAKER OIL TOOLS-FAIRBANKS PLANT 9100 EMMOTT RD
0050500|BALCONES MINERAL CORPORATION
0050525|UNIVERSITY OF TEXAS-PHYSICAL PLANT JJ PICKLE RC
0050530|BALCONES SUPPLY INC
0050625|BALL METAL CONTAINER CORPORATION CONROE PLANT
0051012|WATER DISTRICT MANAGEMENT COMPANY-BAMMEL UD
0051340|BANDERA ISD-BANDERA HIGH SCHOOL
0051600|BANDERA ROAD WATER SERVICE
0051700|CITY OF BANGS
0052400|NUECES COUNTY WCID 5
0052800|CITY OF BARDWELL
0054450|BARRETT CROFOOT PITMAN
0054580|BARRETT SETTLEMENT-JAMES THOMAS WATER SYSTEM
0056800|CITY OF BARTLETT
0057070|BARTEN WATER SEWER
0057080|BARTON VALLEY POA
0057510|BASSETT ROAD MHP
0057680|BASTROP WEST WATER SUPPLY
0058625|AQUA TEXAS INC-BRIARCREEK MANOR
0059450|BAYOU PINES TRAILER PARK
0059455|BAYOU SHADOWS WATER SYSTEM
0060135|B & B WATER COMPANY-UNSPECIFIED SYSTEM/FACILITY
